init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
16.0,2.2546,0.1409,440.0,1.0,0.1409,0.8591,9,0.2187,5M_5N_5T,Small,0
29.0,1.9747,0.0681,440.0,0.7857,0.0681,0.9319,9,0.0788,5M_5N_5T,Small,1
25.0,3.6453,0.1458,380.0,0.9268,0.1458,0.8542,8,0.0784,5M_5N_5T,Small,2
32.0,2.8496,0.089,730.0,0.8295,0.089,0.911,10,0.0752,5M_5N_5T,Small,3
19.0,0.9704,0.0511,600.0,0.8696,0.0511,0.9489,13,0.0754,5M_5N_5T,Small,4
37.0,2.6045,0.0704,730.0,1.0,0.0704,0.9296,10,0.0598,5M_5N_5T,Small,5
20.0,1.4814,0.0741,520.0,0.9123,0.0741,0.9259,9,0.0657,5M_5N_5T,Small,6
27.0,1.7625,0.0653,690.0,0.8961,0.0653,0.9347,9,0.0734,5M_5N_5T,Small,7
28.0,2.2651,0.0809,660.0,1.0,0.0809,0.9191,10,0.0559,5M_5N_5T,Small,8
31.0,1.5177,0.049,890.0,1.0,0.049,0.951,13,0.0834,5M_5N_5T,Small,9
24.0,3.8417,0.1601,500.0,1.0,0.1601,0.8399,8,0.0675,5M_5N_5T,Small,10
30.0,1.2857,0.0429,640.0,1.0,0.0429,0.9571,10,0.0666,5M_5N_5T,Small,11
23.0,2.2748,0.0989,510.0,1.0,0.0989,0.9011,8,0.075,5M_5N_5T,Small,12
35.0,3.4997,0.1,530.0,1.0,0.1,0.9,9,0.0541,5M_5N_5T,Small,13
19.0,1.0579,0.0557,570.0,1.0,0.0557,0.9443,11,0.0833,5M_5N_5T,Small,14
21.0,2.5696,0.1224,350.0,1.0,0.1224,0.8776,11,0.0673,5M_5N_5T,Small,15
33.0,4.3889,0.133,460.0,1.0,0.133,0.867,9,0.0833,5M_5N_5T,Small,16
23.0,1.3217,0.0575,510.0,0.9107,0.0575,0.9425,9,0.0709,5M_5N_5T,Small,17
31.0,2.9574,0.0954,440.0,0.7719,0.0954,0.9046,10,0.058,5M_5N_5T,Small,18
25.0,2.1362,0.0854,550.0,0.9167,0.0854,0.9146,10,0.0663,5M_5N_5T,Small,19
34.0,5.8015,0.1706,580.0,0.8657,0.1706,0.8294,8,0.0666,5M_5N_5T,Small,20
30.0,2.281,0.076,550.0,1.0,0.076,0.924,10,0.0667,5M_5N_5T,Small,21
26.0,3.1586,0.1215,590.0,0.8551,0.1215,0.8785,7,0.0668,5M_5N_5T,Small,22
29.0,1.9,0.0655,520.0,1.0,0.0655,0.9345,10,0.0831,5M_5N_5T,Small,23
19.0,1.0131,0.0533,450.0,0.8491,0.0533,0.9467,10,0.0501,5M_5N_5T,Small,24
17.0,2.5875,0.1522,500.0,1.0,0.1522,0.8478,8,0.0501,5M_5N_5T,Small,25
33.0,1.6578,0.0502,450.0,1.0,0.0502,0.9498,11,0.0499,5M_5N_5T,Small,26
44.0,6.119,0.1391,450.0,0.8333,0.1391,0.8609,9,0.0501,5M_5N_5T,Small,27
44.0,4.1028,0.0932,630.0,0.7778,0.0932,0.9068,10,0.0497,5M_5N_5T,Small,28
16.0,1.376,0.086,620.0,0.9538,0.086,0.914,10,0.0834,5M_5N_5T,Small,29
21.0,1.3497,0.0643,550.0,0.8594,0.0643,0.9357,9,0.1165,5M_5N_5T,Small,30
31.0,2.1382,0.069,440.0,1.0,0.069,0.931,9,0.0667,5M_5N_5T,Small,31
17.0,0.8325,0.049,620.0,1.0,0.049,0.951,10,0.0663,5M_5N_5T,Small,32
25.0,1.3879,0.0555,670.0,1.0,0.0555,0.9445,11,0.0998,5M_5N_5T,Small,33
31.0,1.0503,0.0339,700.0,1.0,0.0339,0.9661,12,0.1337,5M_5N_5T,Small,34
30.0,3.7031,0.1234,800.0,1.0,0.1234,0.8766,10,0.1331,5M_5N_5T,Small,35
31.0,7.6901,0.2481,380.0,0.9268,0.2481,0.7519,7,0.1329,5M_5N_5T,Small,36
25.0,2.2927,0.0917,550.0,0.9483,0.0917,0.9083,10,0.1329,5M_5N_5T,Small,37
34.0,3.3426,0.0983,710.0,0.9342,0.0983,0.9017,11,0.1334,5M_5N_5T,Small,38
28.0,3.325,0.1188,430.0,1.0,0.1188,0.8812,9,0.1338,5M_5N_5T,Small,39
35.0,4.6853,0.1339,520.0,0.8254,0.1339,0.8661,9,0.1176,5M_5N_5T,Small,40
32.0,2.5631,0.0801,780.0,1.0,0.0801,0.9199,9,0.1333,5M_5N_5T,Small,41
33.0,5.2926,0.1604,550.0,1.0,0.1604,0.8396,9,0.1332,5M_5N_5T,Small,42
31.0,2.2729,0.0733,530.0,1.0,0.0733,0.9267,12,0.1167,5M_5N_5T,Small,43
34.0,3.3169,0.0976,640.0,1.0,0.0976,0.9024,10,0.1327,5M_5N_5T,Small,44
26.0,2.0497,0.0788,340.0,0.9444,0.0788,0.9212,9,0.1334,5M_5N_5T,Small,45
41.0,7.501,0.183,360.0,1.0,0.183,0.817,7,0.1168,5M_5N_5T,Small,46
25.0,2.7181,0.1087,460.0,0.8364,0.1087,0.8913,8,0.1166,5M_5N_5T,Small,47
27.0,2.6722,0.099,370.0,0.925,0.099,0.901,9,0.1164,5M_5N_5T,Small,48
25.0,6.6267,0.2651,400.0,1.0,0.2651,0.7349,7,0.1161,5M_5N_5T,Small,49
42.0,13.1584,0.3133,720.0,0.9,0.3133,0.6867,8,0.1334,5M_7N_5T,Small,0
34.0,7.9517,0.2339,590.0,1.0,0.2339,0.7661,8,0.1332,5M_7N_5T,Small,1
35.0,7.1076,0.2031,440.0,0.8,0.2031,0.7969,9,0.1332,5M_7N_5T,Small,2
47.0,4.7005,0.1,930.0,1.0,0.1,0.9,12,0.1497,5M_7N_5T,Small,3
39.0,4.4574,0.1143,640.0,1.0,0.1143,0.8857,12,0.1324,5M_7N_5T,Small,4
31.0,4.3574,0.1406,500.0,1.0,0.1406,0.8594,11,0.1331,5M_7N_5T,Small,5
33.0,7.5292,0.2282,690.0,1.0,0.2282,0.7718,10,0.1335,5M_7N_5T,Small,6
36.0,11.3081,0.3141,320.0,1.0,0.3141,0.6859,5,0.1168,5M_7N_5T,Small,7
40.0,9.1962,0.2299,580.0,0.8529,0.2299,0.7701,8,0.133,5M_7N_5T,Small,8
40.0,4.5287,0.1132,540.0,1.0,0.1132,0.8868,10,0.1333,5M_7N_5T,Small,9
32.0,1.9574,0.0612,760.0,1.0,0.0612,0.9388,12,0.1331,5M_7N_5T,Small,10
32.0,7.5426,0.2357,480.0,1.0,0.2357,0.7643,8,0.1331,5M_7N_5T,Small,11
48.0,7.4629,0.1555,440.0,1.0,0.1555,0.8445,10,0.1327,5M_7N_5T,Small,12
32.0,4.9126,0.1535,640.0,0.8767,0.1535,0.8465,9,0.1173,5M_7N_5T,Small,13
33.0,4.0631,0.1231,570.0,1.0,0.1231,0.8769,11,0.1164,5M_7N_5T,Small,14
53.0,12.1154,0.2286,450.0,1.0,0.2286,0.7714,9,0.1332,5M_7N_5T,Small,15
37.0,5.0731,0.1371,480.0,0.8889,0.1371,0.8629,9,0.1335,5M_7N_5T,Small,16
31.0,4.4006,0.142,710.0,1.0,0.142,0.858,10,0.1333,5M_7N_5T,Small,17
31.0,7.9565,0.2567,450.0,1.0,0.2567,0.7433,7,0.0826,5M_7N_5T,Small,18
27.0,4.1763,0.1547,430.0,1.0,0.1547,0.8453,10,0.05,5M_7N_5T,Small,19
35.0,4.5564,0.1302,550.0,0.9483,0.1302,0.8698,10,0.0665,5M_7N_5T,Small,20
49.0,4.8024,0.098,1030.0,0.9115,0.098,0.902,13,0.0656,5M_7N_5T,Small,21
29.0,2.4661,0.085,730.0,0.9241,0.085,0.915,12,0.05,5M_7N_5T,Small,22
55.0,6.0068,0.1092,830.0,0.9121,0.1092,0.8908,12,0.0672,5M_7N_5T,Small,23
38.0,7.2785,0.1915,580.0,1.0,0.1915,0.8085,10,0.0662,5M_7N_5T,Small,24
41.0,7.6663,0.187,670.0,1.0,0.187,0.813,10,0.05,5M_7N_5T,Small,25
40.0,9.3144,0.2329,440.0,1.0,0.2329,0.7671,8,0.067,5M_7N_5T,Small,26
50.0,10.8339,0.2167,540.0,0.8438,0.2167,0.7833,9,0.0497,5M_7N_5T,Small,27
43.0,14.3409,0.3335,400.0,1.0,0.3335,0.6665,6,0.0835,5M_7N_5T,Small,28
36.0,3.7171,0.1033,830.0,1.0,0.1033,0.8967,12,0.1338,5M_7N_5T,Small,29
51.0,7.4522,0.1461,750.0,1.0,0.1461,0.8539,11,0.1331,5M_7N_5T,Small,30
34.0,4.2392,0.1247,770.0,1.0,0.1247,0.8753,10,0.1336,5M_7N_5T,Small,31
38.0,13.0768,0.3441,350.0,1.0,0.3441,0.6559,6,0.1168,5M_7N_5T,Small,32
53.0,7.808,0.1473,570.0,1.0,0.1473,0.8527,11,0.1331,5M_7N_5T,Small,33
51.0,7.6818,0.1506,640.0,1.0,0.1506,0.8494,10,0.133,5M_7N_5T,Small,34
22.0,5.9241,0.2693,460.0,1.0,0.2693,0.7307,8,0.1338,5M_7N_5T,Small,35
40.0,18.1799,0.4545,340.0,1.0,0.4545,0.5455,5,0.1163,5M_7N_5T,Small,36
29.0,3.5786,0.1234,410.0,1.0,0.1234,0.8766,11,0.1331,5M_7N_5T,Small,37
41.0,6.3852,0.1557,340.0,0.9444,0.1557,0.8443,10,0.1338,5M_7N_5T,Small,38
34.0,4.1518,0.1221,850.0,0.9239,0.1221,0.8779,10,0.116,5M_7N_5T,Small,39
46.0,3.9324,0.0855,750.0,0.9036,0.0855,0.9145,12,0.1335,5M_7N_5T,Small,40
37.0,5.3806,0.1454,560.0,1.0,0.1454,0.8546,11,0.1163,5M_7N_5T,Small,41
28.0,4.467,0.1595,720.0,0.9231,0.1595,0.8405,10,0.1331,5M_7N_5T,Small,42
34.0,4.4521,0.1309,650.0,1.0,0.1309,0.8691,10,0.1336,5M_7N_5T,Small,43
34.0,2.5921,0.0762,820.0,0.82,0.0762,0.9238,11,0.067,5M_7N_5T,Small,44
41.0,5.9652,0.1455,670.0,1.0,0.1455,0.8545,10,0.083,5M_7N_5T,Small,45
26.0,4.7021,0.1808,750.0,1.0,0.1808,0.8192,9,0.0667,5M_7N_5T,Small,46
38.0,3.3252,0.0875,680.0,0.8395,0.0875,0.9125,11,0.0842,5M_7N_5T,Small,47
42.0,3.5203,0.0838,820.0,1.0,0.0838,0.9162,12,0.0828,5M_7N_5T,Small,48
33.0,2.8081,0.0851,630.0,0.9545,0.0851,0.9149,11,0.0663,5M_7N_5T,Small,49
27.0,0.2484,0.0092,1020.0,0.9107,0.0092,0.9908,16,0.0996,7M_5N_5T,Small,0
20.0,0.656,0.0328,670.0,1.0,0.0328,0.9672,13,0.1003,7M_5N_5T,Small,1
38.0,0.3432,0.009,790.0,1.0,0.009,0.991,17,0.1164,7M_5N_5T,Small,2
27.0,0.7786,0.0288,870.0,0.7768,0.0288,0.9712,14,0.1002,7M_5N_5T,Small,3
33.0,0.8486,0.0257,820.0,0.9213,0.0257,0.9743,14,0.1001,7M_5N_5T,Small,4
25.0,0.7324,0.0293,820.0,0.9111,0.0293,0.9707,13,0.0997,7M_5N_5T,Small,5
18.0,1.2079,0.0671,540.0,0.9643,0.0671,0.9329,11,0.1,7M_5N_5T,Small,6
19.0,0.6148,0.0324,870.0,1.0,0.0324,0.9676,17,0.1007,7M_5N_5T,Small,7
32.0,1.7593,0.055,870.0,1.0,0.055,0.945,11,0.085,7M_5N_5T,Small,8
22.0,0.3387,0.0154,760.0,0.9157,0.0154,0.9846,14,0.0999,7M_5N_5T,Small,9
31.0,1.6219,0.0523,710.0,1.0,0.0523,0.9477,11,0.0997,7M_5N_5T,Small,10
16.0,0.548,0.0343,790.0,0.9186,0.0343,0.9657,12,0.0997,7M_5N_5T,Small,11
31.0,1.4506,0.0468,840.0,0.866,0.0468,0.9532,13,0.0999,7M_5N_5T,Small,12
22.0,0.3084,0.014,670.0,0.8171,0.014,0.986,13,0.1003,7M_5N_5T,Small,13
30.0,0.403,0.0134,780.0,1.0,0.0134,0.9866,16,0.0996,7M_5N_5T,Small,14
20.0,0.3635,0.0182,780.0,0.9176,0.0182,0.9818,14,0.0864,7M_5N_5T,Small,15
29.0,0.4194,0.0145,810.0,0.8438,0.0145,0.9855,15,0.082,7M_5N_5T,Small,16
15.0,0.8811,0.0587,530.0,0.8281,0.0587,0.9413,12,0.0661,7M_5N_5T,Small,17
28.0,1.2853,0.0459,840.0,0.913,0.0459,0.9541,14,0.0683,7M_5N_5T,Small,18
33.0,1.0602,0.0321,730.0,1.0,0.0321,0.9679,12,0.083,7M_5N_5T,Small,19
20.0,0.6872,0.0344,890.0,0.9175,0.0344,0.9656,12,0.0824,7M_5N_5T,Small,20
28.0,1.6662,0.0595,730.0,0.9605,0.0595,0.9405,12,0.0672,7M_5N_5T,Small,21
